No errors
No warnings
856 ms
data source=metars
4678 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KC07 020037Z AUTO 30007KT 10SM CLR 09/00 A3024 RMK AO2,KC07,2020-05-02T00:37:00Z,40.35,-106.7,9.0,0.0,300,7,,10.0,30.239174,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,3224.0
KIRS 020036Z AUTO 22004KT 10SM CLR 15/06 A3002 RMK AO2 T01460064,KIRS,2020-05-02T00:36:00Z,41.8,-85.43,14.6,6.4,220,4,,10.0,30.02067,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,282.0
PACZ 020036Z AUTO 20014G22KT 10SM OVC010 M02/M04 A2987 RMK AO2 SLP123,PACZ,2020-05-02T00:36:00Z,61.78,-166.03,-2.0,-4.0,200,14,22,10.0,29.870079,1012.3,,TRUE,TRUE,,,,,,,OVC,1000,,,,,,,MVFR,,,,,,,,,,,,METAR,146.0
K21D 020036Z AUTO 13008KT 10SM SCT085 SCT110 21/05 A2964 RMK AO2AO2,K21D,2020-05-02T00:36:00Z,45.0,-92.85,21.0,5.0,130,8,,10.0,29.639763,,,TRUE,TRUE,,,,,,,SCT,8500,SCT,11000,,,,,VFR,,,,,,,,,,,,METAR,285.0
KHCD 020036Z AUTO 28017G23KT 10SM CLR 25/10 A2965 RMK AO2 T02500102,KHCD,2020-05-02T00:36:00Z,44.87,-94.38,25.0,10.2,280,17,23,10.0,29.648623,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,323.0
KMCD 020036Z AUTO 25008KT 10SM OVC110 08/M01 A2996 RMK AO2 T00801007,KMCD,2020-05-02T00:36:00Z,45.85,-84.63,8.0,-0.7,250,8,,10.0,29.958662,,,TRUE,TRUE,,,,,,,OVC,11000,,,,,,,VFR,,,,,,,,,,,,METAR,226.0
KD39 020036Z AUTO 30013G23KT 10SM 23/10 A2963 RMK AO2 T02270097,KD39,2020-05-02T00:36:00Z,45.7,-94.93,22.7,9.7,300,13,23,10.0,29.630905,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,380.0
KCVX 020036Z AUTO 00000KT 10SM CLR 11/M03 A2997 RMK AO2 T01081026,KCVX,2020-05-02T00:36:00Z,45.3,-85.27,10.8,-2.6,0,0,,10.0,29.970472,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KCQM 020036Z AUTO 10004KT 10SM RA OVC065 09/08 A2973 RMK AO2,KCQM,2020-05-02T00:36:00Z,47.82,-92.68,9.0,8.0,100,4,,10.0,29.731298,,,TRUE,TRUE,,,,,,RA,OVC,6500,,,,,,,VFR,,,,,,,,,,,,METAR,404.0
KCKN 020036Z AUTO 30005KT 10SM SCT035 BKN085 OVC090 16/12 A2968 RMK AO2,KCKN,2020-05-02T00:36:00Z,47.85,-96.62,16.0,12.0,300,5,,10.0,29.681103,,,TRUE,TRUE,,,,,,,SCT,3500,BKN,8500,OVC,9000,,,VFR,,,,,,,,,,,,METAR,273.0
KBFW 020036Z AUTO 00000KT 4SM RA SCT050 OVC065 08/07 A2980 RMK AO2 P0006 P0006,KBFW,2020-05-02T00:36:00Z,47.25,-91.4,8.0,7.0,0,0,,4.0,29.799213,,,TRUE,TRUE,,,,,,RA,SCT,5000,OVC,6500,,,,,MVFR,,,,,,0.06,,,,,,METAR,331.0
KAOH 020036Z AUTO 34003KT 3SM HZ CLR 16/06 A3005 RMK AO2 T01560056 $,KAOH,2020-05-02T00:36:00Z,40.7,-84.02,15.6,5.6,340,3,,3.0,30.050198,,,TRUE,TRUE,TRUE,,,,,HZ,CLR,,,,,,,,MVFR,,,,,,,,,,,,SPECI,296.0
KPWC 020036Z AUTO 09006KT 10SM BKN080 OVC090 12/07 A2972 RMK AO2,KPWC,2020-05-02T00:36:00Z,46.72,-94.37,12.0,7.0,90,6,,10.0,29.719488,,,TRUE,TRUE,,,,,,,BKN,8000,OVC,9000,,,,,VFR,,,,,,,,,,,,METAR,395.0
KPIT 020036Z 30007KT 10SM SCT022 SCT035 SCT250 09/05 A3003 RMK AO2 T00940050,KPIT,2020-05-02T00:36:00Z,40.47,-80.2,9.4,5.0,300,7,,10.0,30.029528,,,,TRUE,,,,,,,SCT,2200,SCT,3500,SCT,25000,,,VFR,,,,,,,,,,,,SPECI,339.0
KOZW 020036Z AUTO 00000KT 10SM CLR 14/03 A3003 RMK AO2 T01380028,KOZW,2020-05-02T00:36:00Z,42.62,-83.97,13.8,2.8,0,0,,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,293.0
KOSC 020036Z AUTO 20007KT 10SM CLR 12/M02 A2998 RMK AO2 T01151016,KOSC,2020-05-02T00:36:00Z,44.45,-83.4,11.5,-1.6,200,7,,10.0,29.97933,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,193.0
KOEB 020036Z AUTO 00000KT 10SM CLR 15/04 A3002 RMK AO2,KOEB,2020-05-02T00:36:00Z,41.92,-85.03,15.0,4.0,0,0,,10.0,30.02067,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,292.0
KMWM 020036Z AUTO 28014KT 10SM CLR 26/08 A2969 RMK AO2,KMWM,2020-05-02T00:36:00Z,43.9,-95.1,26.0,8.0,280,14,,10.0,29.68996,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,430.0
KMVE 020036Z AUTO 34015G25KT 10SM CLR 23/07 A2969 RMK AO2,KMVE,2020-05-02T00:36:00Z,44.97,-95.72,23.0,7.0,340,15,25,10.0,29.68996,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,315.0
KAKO 020036Z AUTO 14012KT 10SM TS SCT120 26/02 A2985 RMK AO2 LTG DSNT N AND NE TSB36 T02610017,KAKO,2020-05-02T00:36:00Z,40.17,-103.22,26.1,1.7,140,12,,10.0,29.84941,,,TRUE,TRUE,,,,,,TS,SCT,12000,,,,,,,VFR,,,,,,,,,,,,SPECI,1421.0
KADC 020036Z AUTO 00000KT 10SM CLR 18/07 A2966 RMK AO2,KADC,2020-05-02T00:36:00Z,46.45,-95.22,18.0,7.0,0,0,,10.0,29.660433,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,418.0
PAPB 020036Z AUTO 13014KT 10SM BKN018 BKN026 OVC065 06/01 A2974 RMK AO2 T00610011 TSNO,PAPB,2020-05-02T00:36:00Z,56.58,-169.67,6.1,1.1,130,14,,10.0,29.740158,,,TRUE,TRUE,,,TRUE,,,,BKN,1800,BKN,2600,OVC,6500,,,MVFR,,,,,,,,,,,,SPECI,35.0
KFKS 020036Z AUTO 00000KT 10SM BKN110 11/M01 A2996 RMK AO2 T01091013,KFKS,2020-05-02T00:36:00Z,44.63,-86.2,10.9,-1.3,0,0,,10.0,29.958662,,,TRUE,TRUE,,,,,,,BKN,11000,,,,,,,VFR,,,,,,,,,,,,METAR,193.0
KFPK 020036Z AUTO 00000KT 10SM CLR 15/04 A3001 RMK AO2 T01540044,KFPK,2020-05-02T00:36:00Z,42.57,-84.82,15.4,4.4,0,0,,10.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,272.0
KDRM 020036Z AUTO 28005KT 10SM CLR 13/M03 A2995 RMK AO2 T01271034,KDRM,2020-05-02T00:36:00Z,46.0,-83.75,12.7,-3.4,280,5,,10.0,29.949802,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KCOQ 020036Z AUTO 09009KT 10SM OVC080 09/07 A2971 RMK AO2 TSNO,KCOQ,2020-05-02T00:36:00Z,46.7,-92.5,9.0,7.0,90,9,,10.0,29.71063,,,TRUE,TRUE,,,TRUE,,,,OVC,8000,,,,,,,VFR,,,,,,,,,,,,METAR,390.0
KCFS 020036Z AUTO 00000KT 10SM CLR 12/04 A3001 RMK AO2 T01240039,KCFS,2020-05-02T00:36:00Z,43.47,-83.45,12.4,3.9,0,0,,10.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,214.0
KCFE 020036Z 10SM CLR 25/08 A2961 RMK AO2 T02510078,KCFE,2020-05-02T00:36:00Z,45.17,-93.85,25.1,7.8,,,,10.0,29.610237,,,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,295.0
KCBG 020036Z AUTO 11009G15KT 073V133 10SM CLR 19/08 A2961 RMK AO2,KCBG,2020-05-02T00:36:00Z,45.57,-93.27,19.0,8.0,110,9,15,10.0,29.610237,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,287.0
KBJI 020036Z AUTO 10007KT 10SM OVC065 12/08 A2968 RMK AO2 T01210084,KBJI,2020-05-02T00:36:00Z,47.5,-94.92,12.1,8.4,100,7,,10.0,29.681103,,,TRUE,TRUE,,,,,,,OVC,6500,,,,,,,VFR,,,,,,,,,,,,METAR,420.0
KBAX 020036Z AUTO 20003KT 10SM CLR 12/05 A3001 RMK AO2 T01170048,KBAX,2020-05-02T00:36:00Z,43.78,-82.98,11.7,4.8,200,3,,10.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,234.0
KRMY 020036Z AUTO 00000KT 10SM CLR 15/03 A3002 RMK AO2 T01500032,KRMY,2020-05-02T00:36:00Z,42.23,-84.95,15.0,3.2,0,0,,10.0,30.02067,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,287.0
KI23 020036Z AUTO 00000KT 10SM CLR 13/08 A3006 RMK AO1,KI23,2020-05-02T00:36:00Z,39.57,-83.42,13.0,8.0,0,0,,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,299.0
KHZL 020036Z AUTO 30006KT 10SM -DZ SCT033 BKN044 OVC050 12/07 A2987 RMK AO2 P0001,KHZL,2020-05-02T00:36:00Z,40.98,-76.0,12.0,7.0,300,6,,10.0,29.870079,,,TRUE,TRUE,,,,,,-DZ,SCT,3300,BKN,4400,OVC,5000,,,VFR,,,,,,0.01,,,,,,METAR,489.0
KEVM 020036Z AUTO 09005KT 10SM -RA SCT047 SCT055 OVC080 09/08 A2975 RMK AO2 P0004 T00850080,KEVM,2020-05-02T00:36:00Z,47.42,-92.5,8.5,8.0,90,5,,10.0,29.749016,,,TRUE,TRUE,,,,,,-RA,SCT,4700,SCT,5500,OVC,8000,,,VFR,,,,,,0.04,,,,,,METAR,421.0
KERY 020036Z AUTO 18007KT 10SM CLR 12/M03 A2993 RMK AO2 T01181034,KERY,2020-05-02T00:36:00Z,46.3,-85.45,11.8,-3.4,180,7,,10.0,29.929134,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,265.0
KVLL 020036Z AUTO 00000KT 10SM CLR 16/00 A3005 RMK AO2 T01631001,KVLL,2020-05-02T00:36:00Z,42.55,-83.18,16.3,-0.1,0,0,,10.0,30.050198,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,222.0
KJYG 020036Z 29016G23KT 10SM 26/08 A2966 RMK AO2 PWINO,KJYG,2020-05-02T00:36:00Z,43.98,-94.55,26.0,8.0,290,16,23,10.0,29.660433,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,METAR,325.0
KJMR 020036Z AUTO 11008KT 10SM CLR 15/06 A2965 RMK AO2,KJMR,2020-05-02T00:36:00Z,45.88,-93.27,15.0,6.0,110,8,,10.0,29.648623,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,309.0
KRQB 020036Z AUTO 24004KT 10SM CLR 13/M02 A3000 RMK AO2 T01341020,KRQB,2020-05-02T00:36:00Z,43.72,-85.5,13.4,-2.0,240,4,,10.0,30.0,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,302.0
KRZT 020036Z AUTO 00000KT 10SM CLR 12/07 A3006 RMK AO2 PWINO,KRZT,2020-05-02T00:36:00Z,39.43,-83.02,12.0,7.0,0,0,,10.0,30.059055,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,221.0
KULM 020036Z AUTO 30015G21KT 10SM CLR 26/07 A2965 RMK AO2,KULM,2020-05-02T00:36:00Z,44.32,-94.5,26.0,7.0,300,15,21,10.0,29.648623,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,308.0
KMOP 020036Z AUTO 18004KT 10SM CLR 16/04 A3000 RMK AO2 T01590041,KMOP,2020-05-02T00:36:00Z,43.62,-84.73,15.9,4.1,180,4,,10.0,30.0,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,230.0
KJYM 020036Z AUTO 00000KT 10SM CLR 15/02 A3003 RMK AO2 T01530016,KJYM,2020-05-02T00:36:00Z,41.92,-84.58,15.3,1.6,0,0,,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,360.0
KPOV 020036Z AUTO 31005KT 10SM CLR 09/01 A3003 RMK AO2 T00930011 PWINO,KPOV,2020-05-02T00:36:00Z,41.22,-81.25,9.3,1.1,310,5,,10.0,30.029528,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,365.0
KAXV 020036Z AUTO 00000KT 10SM CLR 16/02 A3005 RMK AO2,KAXV,2020-05-02T00:36:00Z,40.5,-84.3,16.0,2.0,0,0,,10.0,30.050198,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,279.0
KAUM 020036Z AUTO 18014G21KT 10SM CLR 24/10 A2970 RMK AO2,KAUM,2020-05-02T00:36:00Z,43.67,-92.92,24.0,10.0,180,14,21,10.0,29.698818,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,375.0
KEFK 020036Z AUTO 34011G14KT 7SM -DZ BKN015 BKN022 OVC032 09/08 A2975 RMK AO2 T00850082,KEFK,2020-05-02T00:36:00Z,44.88,-72.23,8.5,8.2,340,11,14,7.0,29.749016,,,TRUE,TRUE,,,,,,-DZ,BKN,1500,BKN,2200,OVC,3200,,,MVFR,,,,,,,,,,,,METAR,284.0
KFGN 020036Z AUTO 19004KT 1/4SM -RA 05/04 A2967 RMK AO2 P0001,KFGN,2020-05-02T00:36:00Z,49.32,-94.9,5.0,4.0,190,4,,0.25,29.66929,,,TRUE,TRUE,,,,,,-RA,,,,,,,,,,,,,,,0.01,,,,,,METAR,328.0
KCCU 020036Z AUTO 19008G17KT 130V230 10SM SCT080 12/M08 A3037 RMK AO2,KCCU,2020-05-02T00:36:00Z,39.48,-106.15,12.0,-8.0,190,8,17,10.0,30.369095,,,TRUE,TRUE,,,,,,,SCT,8000,,,,,,,VFR,,,,,,,,,,,,METAR,3680.0
KAMN 020036Z AUTO 17004KT 10SM CLR 15/04 A3002 RMK AO2 T01450041,KAMN,2020-05-02T00:36:00Z,43.32,-84.68,14.5,4.1,170,4,,10.0,30.02067,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,230.0
KVQT 020035Z AUTO 15013KT 10SM CLR 24/15 A3008 RMK A01,KVQT,2020-05-02T00:35:00Z,28.27,-92.27,24.0,15.0,150,13,,10.0,30.079725,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,25.0
KJTC 020035Z AUTO 25016G24KT 10SM CLR 24/M15 A3017 RMK AO2,KJTC,2020-05-02T00:35:00Z,34.13,-109.32,24.0,-15.0,250,16,24,10.0,30.171259,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2150.0
KJAU 020035Z AUTO VRB03KT 10SM CLR 16/02 A3009 RMK A01,KJAU,2020-05-02T00:35:00Z,36.33,-84.17,16.0,2.0,0,3,,10.0,30.088583,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,360.0
KIMM 020035Z AUTO 28007KT 10SM FEW050 23/14 A3005 RMK AO2,KIMM,2020-05-02T00:35:00Z,26.43,-81.4,23.0,14.0,280,7,,10.0,30.050198,,,TRUE,TRUE,,,,,,,FEW,5000,,,,,,,VFR,,,,,,,,,,,,METAR,12.0
KIKT 020035Z AUTO 10SM 22/10 A3011 RMK A01,KIKT,2020-05-02T00:35:00Z,28.52,-88.28,22.0,10.0,,,,10.0,30.109253,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,25.0
KI74 020035Z AUTO 00000KT 10SM CLR 13/05 A3006 RMK AO2,KI74,2020-05-02T00:35:00Z,40.12,-83.75,13.0,5.0,0,0,,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,322.0
KI35 020035Z AUTO 32003KT 10SM CLR 16/05 A3007 RMK AO2 T01600051,KI35,2020-05-02T00:35:00Z,36.87,-83.37,16.0,5.1,320,3,,10.0,30.070866,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,473.0
KHZD 020035Z AUTO 00000KT 10SM CLR 19/11 A3002 RMK A01,KHZD,2020-05-02T00:35:00Z,36.08,-88.47,19.0,11.0,0,0,,10.0,30.02067,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,151.0
KBTA 020035Z AUTO 34010KT 10SM SCT095 29/10 A2974 RMK AO2 T02920103,KBTA,2020-05-02T00:35:00Z,41.42,-96.12,29.2,10.3,340,10,,10.0,29.740158,,,TRUE,TRUE,,,,,,,SCT,9500,,,,,,,VFR,,,,,,,,,,,,METAR,396.0
KBQP 020035Z AUTO 00000KT 10SM CLR 24/13 A3003 RMK AO2 T02370134 TSNO,KBQP,2020-05-02T00:35:00Z,32.75,-91.88,23.7,13.4,0,0,,10.0,30.029528,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,51.0
KBPG 020035Z AUTO 19021G27KT 10SM CLR 34/09 A2985 RMK AO2 T03370091,KBPG,2020-05-02T00:35:00Z,32.22,-101.52,33.7,9.1,190,21,27,10.0,29.84941,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,784.0
KBIE 020035Z AUTO 19008KT 10SM CLR 27/13 A2976 RMK AO2 T02700130,KBIE,2020-05-02T00:35:00Z,40.28,-96.75,27.0,13.0,190,8,,10.0,29.760826,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,403.0
KBBD 020035Z AUTO 17010G17KT 10SM CLR 30/09 A2990 RMK AO2,KBBD,2020-05-02T00:35:00Z,31.18,-99.32,30.0,9.0,170,10,17,10.0,29.899607,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,557.0
KAXX 020035Z AUTO 24011G15KT 10SM CLR 21/M07 A3016 RMK AO2 T02121074,KAXX,2020-05-02T00:35:00Z,36.42,-105.28,21.2,-7.4,240,11,15,10.0,30.159449,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2548.0
KAUN 020035Z AUTO 00000KT 10SM CLR 23/04 A3002 RMK A01,KAUN,2020-05-02T00:35:00Z,38.95,-121.08,23.0,4.0,0,0,,10.0,30.02067,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,467.0
KAUH 020035Z AUTO 36010KT 10SM CLR 29/10 A2979 RMK AO2 T02910095,KAUH,2020-05-02T00:35:00Z,40.88,-98.0,29.1,9.5,360,10,,10.0,29.790354,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,550.0
KASL 020035Z AUTO 15003KT 10SM 24/14 A2998 RMK AO1 T02400138,KASL,2020-05-02T00:35:00Z,32.52,-94.3,24.0,13.8,150,3,,10.0,29.97933,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,109.0
KAPS 020035Z AUTO 13003KT 10SM CLR 24/10 A3008 RMK AO2 T02400097,KAPS,2020-05-02T00:35:00Z,30.08,-90.58,24.0,9.7,130,3,,10.0,30.079725,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2.0
KANW 020035Z AUTO 36015G19KT 10SM CLR 22/08 A2990 RMK AO2 T02170076,KANW,2020-05-02T00:35:00Z,42.57,-100.0,21.7,7.6,360,15,19,10.0,29.899607,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,789.0
KAHQ 020035Z AUTO 35012KT 10SM CLR 30/07 A2974 RMK AO2 T03030068,KAHQ,2020-05-02T00:35:00Z,41.23,-96.6,30.3,6.8,350,12,,10.0,29.740158,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,374.0
KAFK 020035Z AUTO 19006KT 10SM CLR 26/12 A2976 RMK AO2 T02610118,KAFK,2020-05-02T00:35:00Z,40.6,-95.85,26.1,11.8,190,6,,10.0,29.760826,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,354.0
KAEL 020035Z AUTO 17014G23KT 10SM BKN090 24/09 A2967 RMK AO2,KAEL,2020-05-02T00:35:00Z,43.68,-93.37,24.0,9.0,170,14,23,10.0,29.66929,,,TRUE,TRUE,,,,,,,BKN,9000,,,,,,,VFR,,,,,,,,,,,,METAR,383.0
